tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
2.0,29.0,1.0,13.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,Libra,0.0,0.0,1.0
6.0,68.0,3.0,9.0,1.0,NA,NA,0.0,0.0,1.0,NA,NaN,0.0,1.0,0.0
4.0,71.0,4.0,12.0,1.0,NA,NA,0.0,0.0,1.0,NA,Virgo,0.0,1.0,0.0
NA,40.0,3.0,14.0,0.0,0.0,4.0,1.0,NA,1.0,1.0,Aquarius,1.0,0.0,0.0
NA,56.0,0.0,14.0,0.0,0.0,NA,1.0,NA,0.0,0.0,Virgo,0.0,0.0,1.0
2.0,48.0,0.0,15.0,0.0,NA,NA,NA,1.0,1.0,NA,Capricorn,0.0,0.0,1.0
NA,33.0,5.0,12.0,0.0,NA,NA,1.0,NA,1.0,NA,Libra,1.0,0.0,0.0
NA,20.0,0.0,13.0,0.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
NA,46.0,4.0,10.0,1.0,1.0,2.0,0.0,NA,0.0,0.0,Sagittarius,0.0,0.0,1.0
4.0,80.0,2.0,20.0,1.0,0.0,NA,0.0,2.0,1.0,0.0,Leo,1.0,0.0,0.0
NA,89.0,5.0,5.0,1.0,1.0,NA,NA,NA,0.0,0.0,Virgo,0.0,0.0,1.0
NA,33.0,0.0,12.0,0.0,1.0,2.0,0.0,NA,1.0,0.0,NaN,0.0,1.0,0.0
4.0,88.0,0.0,12.0,1.0,NA,NA,0.0,0.0,1.0,NA,Sagittarius,0.0,1.0,0.0
NA,44.0,2.0,NA,1.0,NA,NA,1.0,NA,1.0,NA,Taurus,0.0,0.0,1.0
0.0,35.0,3.0,12.0,0.0,1.0,5.0,NA,1.0,1.0,0.0,NaN,1.0,0.0,0.0
NA,53.0,1.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Aquarius,1.0,0.0,0.0
NA,26.0,0.0,18.0,0.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
NA,28.0,0.0,16.0,1.0,1.0,4.0,0.0,NA,1.0,0.0,Pisces,1.0,0.0,0.0
NA,36.0,3.0,12.0,1.0,1.0,NA,0.0,NA,0.0,0.0,Aries,0.0,0.0,1.0
NA,43.0,4.0,14.0,1.0,1.0,0.0,1.0,NA,1.0,0.0,Aquarius,1.0,0.0,0.0
NA,25.0,0.0,15.0,0.0,NA,NA,0.0,NA,1.0,NA,Pisces,0.0,0.0,1.0
NA,28.0,1.0,13.0,0.0,NA,NA,0.0,NA,0.0,NA,Aquarius,1.0,0.0,0.0
5.0,58.0,4.0,14.0,1.0,1.0,NA,NA,1.0,1.0,0.0,Aquarius,1.0,0.0,0.0
NA,30.0,1.0,11.0,0.0,1.0,1.0,NA,NA,0.0,0.0,Cancer,0.0,1.0,0.0
NA,29.0,4.0,10.0,1.0,NA,NA,0.0,NA,NA,NA,Pisces,0.0,0.0,1.0
5.0,22.0,1.0,7.0,0.0,NA,NA,NA,2.0,NA,NA,Scorpio,0.0,1.0,0.0
NA,51.0,0.0,18.0,1.0,1.0,4.0,0.0,NA,1.0,0.0,Taurus,1.0,0.0,0.0
1.0,30.0,1.0,14.0,1.0,0.0,NA,0.0,1.0,1.0,1.0,Cancer,1.0,0.0,0.0
NA,82.0,4.0,8.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Pisces,0.0,1.0,0.0
NA,42.0,2.0,12.0,1.0,NA,NA,0.0,NA,0.0,NA,Cancer,0.0,1.0,0.0
5.0,26.0,2.0,12.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,Libra,0.0,0.0,1.0
NA,46.0,4.0,6.0,1.0,NA,NA,NA,NA,NA,NA,Gemini,0.0,0.0,1.0
NA,21.0,0.0,15.0,1.0,NA,NA,NA,NA,0.0,NA,Capricorn,1.0,0.0,0.0
2.0,32.0,0.0,16.0,0.0,NA,4.0,NA,1.0,1.0,NA,Libra,1.0,0.0,0.0
2.0,63.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,0.0,Taurus,0.0,0.0,1.0
NA,58.0,4.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Taurus,0.0,1.0,0.0
10.0,58.0,3.0,16.0,0.0,NA,NA,0.0,0.0,1.0,NA,Sagittarius,0.0,1.0,0.0
NA,58.0,4.0,12.0,1.0,1.0,NA,0.0,NA,NA,0.0,Virgo,0.0,0.0,1.0
3.0,86.0,2.0,12.0,1.0,NA,NA,0.0,1.0,1.0,NA,Aries,1.0,0.0,0.0
2.0,47.0,4.0,12.0,0.0,NA,NA,1.0,2.0,0.0,NA,Virgo,0.0,0.0,1.0
3.0,22.0,0.0,12.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,Capricorn,0.0,1.0,0.0
NA,31.0,2.0,12.0,1.0,1.0,NA,1.0,NA,0.0,1.0,Scorpio,0.0,0.0,1.0
NA,39.0,1.0,15.0,0.0,NA,NA,0.0,NA,1.0,NA,Cancer,0.0,1.0,0.0
NA,40.0,2.0,10.0,1.0,NA,NA,1.0,NA,0.0,NA,Sagittarius,0.0,0.0,1.0
2.0,58.0,0.0,18.0,1.0,NA,5.0,0.0,1.0,1.0,NA,Cancer,1.0,0.0,0.0
4.0,38.0,2.0,14.0,0.0,0.0,NA,0.0,0.0,NA,1.0,Sagittarius,NA,NA,NA
NA,46.0,2.0,13.0,1.0,NA,NA,1.0,NA,1.0,NA,Leo,0.0,0.0,1.0
4.0,66.0,0.0,12.0,1.0,NA,NA,NA,0.0,0.0,NA,Aquarius,0.0,0.0,1.0
NA,68.0,3.0,18.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Aquarius,0.0,1.0,0.0
3.0,68.0,4.0,13.0,0.0,NA,3.0,0.0,1.0,1.0,NA,Aquarius,0.0,1.0,0.0
NA,56.0,2.0,14.0,0.0,0.0,NA,0.0,NA,0.0,1.0,Gemini,0.0,0.0,1.0
NA,30.0,2.0,14.0,1.0,0.0,1.0,1.0,NA,1.0,1.0,Virgo,1.0,0.0,0.0
8.0,54.0,3.0,14.0,1.0,NA,NA,1.0,2.0,1.0,NA,Gemini,1.0,0.0,0.0
1.0,41.0,1.0,14.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,Aries,0.0,1.0,0.0
0.0,21.0,0.0,14.0,1.0,NA,NA,0.0,2.0,NA,NA,Capricorn,0.0,1.0,0.0
4.0,22.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Taurus,0.0,0.0,1.0
NA,50.0,1.0,12.0,1.0,0.0,2.0,0.0,NA,1.0,1.0,Aquarius,0.0,0.0,1.0
NA,23.0,0.0,16.0,1.0,NA,3.0,1.0,NA,1.0,0.0,Sagittarius,1.0,0.0,0.0
NA,31.0,0.0,17.0,1.0,NA,NA,0.0,NA,1.0,NA,Taurus,1.0,0.0,0.0
6.0,36.0,3.0,14.0,1.0,0.0,NA,NA,0.0,1.0,0.0,Cancer,0.0,0.0,1.0
2.0,72.0,2.0,11.0,1.0,1.0,NA,1.0,2.0,1.0,0.0,Gemini,1.0,0.0,0.0
NA,45.0,1.0,12.0,0.0,NA,NA,0.0,NA,0.0,NA,Sagittarius,1.0,0.0,0.0
NA,33.0,1.0,19.0,0.0,NA,NA,NA,NA,1.0,NA,Capricorn,0.0,1.0,0.0
4.0,72.0,0.0,9.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Pisces,0.0,1.0,0.0
7.0,33.0,0.0,15.0,1.0,NA,6.0,0.0,1.0,NA,NA,Taurus,1.0,0.0,0.0
3.0,37.0,2.0,14.0,1.0,NA,3.0,1.0,0.0,1.0,NA,Capricorn,1.0,0.0,0.0
2.0,67.0,2.0,9.0,1.0,1.0,NA,0.0,0.0,0.0,0.0,Leo,1.0,0.0,0.0
NA,36.0,0.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Aquarius,1.0,0.0,0.0
1.0,42.0,0.0,14.0,1.0,NA,3.0,0.0,0.0,1.0,NA,Libra,1.0,0.0,0.0
NA,58.0,0.0,18.0,1.0,NA,NA,NA,NA,1.0,NA,Taurus,1.0,0.0,0.0
NA,66.0,4.0,8.0,1.0,NA,NA,1.0,NA,1.0,NA,Scorpio,1.0,0.0,0.0
