guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
0,0,0,0,0,25,12,0,0,1,22500
0,1,0,1,0,18,12,1,1,0,22500
1,1,0,1,0,73,12,1,0,0,22500
1,1,0,1,0,51,12,1,0,0,22500
1,0,0,0,0,56,12,1,0,0,22500
0,1,0,1,0,24,12,1,1,0,22500
NA,1,0,1,0,60,12,0,0,1,22500
1,0,0,0,0,73,12,0,0,0,22500
0,1,0,1,0,24,12,1,1,0,22500
0,0,0,0,0,31,12,1,1,0,22500
1,1,0,1,0,41,12,0,0,0,22500
1,0,0,0,0,73,12,1,0,0,22500
1,0,0,0,0,62,12,1,0,0,22500
1,1,0,1,0,53,12,1,0,0,22500
NA,1,0,1,0,36,12,0,0,1,22500
0,1,0,1,0,62,12,0,1,0,22500
1,1,0,1,0,39,12,0,1,0,22500
NA,1,0,1,0,72,12,1,1,0,22500
0,1,0,1,0,34,12,1,0,1,22500
1,1,0,1,0,39,12,0,0,0,22500
NA,1,0,1,0,32,12,1,0,0,22500
0,1,0,1,0,38,12,1,1,1,22500
0,1,0,1,0,38,12,0,0,0,22500
1,1,0,1,0,43,12,1,0,0,22500
1,0,0,0,0,31,12,0,0,0,22500
1,1,0,1,0,64,12,0,0,0,22500
1,0,1,1,0,26,16,0,0,0,22500
1,0,1,1,0,83,16,1,0,0,22500
1,0,1,1,0,87,16,1,0,0,22500
1,0,1,1,0,55,16,1,0,0,22500
1,0,1,1,0,38,16,0,0,0,22500
1,0,1,1,0,35,16,1,0,0,22500
1,0,1,1,0,38,16,0,0,1,22500
1,0,1,1,0,27,16,1,0,0,22500
0,0,1,1,0,32,16,0,0,0,22500
1,0,1,1,0,37,16,1,0,0,22500
1,0,1,1,0,71,16,0,0,0,22500
1,0,1,1,0,60,16,0,0,0,22500
1,0,1,1,0,44,16,0,0,0,22500
1,0,1,1,0,47,16,0,0,0,22500
0,0,1,1,0,29,16,1,0,0,22500
1,0,1,1,0,53,16,1,0,0,22500
1,0,1,1,0,22,16,0,0,0,22500
1,0,1,1,0,47,16,0,0,0,22500
1,0,1,1,0,65,16,0,0,0,22500
0,0,1,1,0,70,16,1,0,0,22500
1,1,0,1,0,34,16,0,0,0,22500
1,1,0,1,0,64,16,1,0,0,22500
0,1,0,1,0,30,16,1,0,0,22500
